HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID	pmid_count
HGNC:1044	BGN	633	ENSG00000182492	128
HGNC:1814	CEACAM1	634	ENSG00000079385	234
HGNC:1047	BHMT	635	ENSG00000145692	96
HGNC:1049	BICD1	636	ENSG00000151746	45
HGNC:1050	BID	637	ENSG00000015475	244
HGNC:1051	BIK	638	ENSG00000100290	86
HGNC:9346	PRDM1	639	ENSG00000057657	160
HGNC:1057	BLK	640	ENSG00000136573	99
HGNC:1058	BLM	641	ENSG00000197299	296
HGNC:1059	BLMH	642	ENSG00000108578	73
HGNC:1060	CXCR5	643	ENSG00000160683	104
HGNC:1062	BLVRA	644	ENSG00000106605	55
HGNC:1063	BLVRB	645	ENSG00000090013	29
HGNC:1081	BNC1	646	ENSG00000169594	30
HGNC:1066	BMI1	648	ENSG00000168283	499
HGNC:1067	BMP1	649	ENSG00000168487	88
HGNC:1069	BMP2	650	ENSG00000125845	623
HGNC:1070	BMP3	651	ENSG00000152785	35
HGNC:1071	BMP4	652	ENSG00000125378	416
HGNC:1072	BMP5	653	ENSG00000112175	41
HGNC:1073	BMP6	654	ENSG00000153162	136
HGNC:1074	BMP7	655	ENSG00000101144	263
HGNC:1075	BMP8B	656	ENSG00000116985	22
HGNC:1076	BMPR1A	657	ENSG00000107779	160
HGNC:1077	BMPR1B	658	ENSG00000138696	116
HGNC:1078	BMPR2	659	ENSG00000204217	266
HGNC:1079	BMX	660	ENSG00000102010	72
HGNC:1080	POLR3D	661	ENSG00000168495	30
HGNC:1082	BNIP1	662	ENSG00000113734	24
HGNC:1083	BNIP2	663	ENSG00000140299	31
HGNC:1084	BNIP3	664	ENSG00000176171	162
HGNC:1085	BNIP3L	665	ENSG00000104765	54
HGNC:1087	BOK	666	ENSG00000176720	34
HGNC:1090	DST	667	ENSG00000151914	115
HGNC:1092	FOXL2	668	ENSG00000183770	183
HGNC:1093	BPGM	669	ENSG00000172331	28
HGNC:1094	BPHL	670	ENSG00000137274	20
HGNC:1095	BPI	671	ENSG00000101425	62
HGNC:1100	BRCA1	672	ENSG00000012048	2826
HGNC:1097	BRAF	673	ENSG00000157764	2139
